Route ID,Route Type,Bus Type,Distance (km),Stops,Terrain,Fuel Efficiency (km/l),Emissions (g CO2/km),Operational Cost (USD/km),Avg Speed (km/h)
1,Urban,Electric,10,15,Flat,,0,0.1,35
2,Suburban,Diesel,30,12,Hilly,6.2,140,0.14,50
3,Rural,CNG,60,8,Flat,5.1,125,0.11,60
4,Intercity,Diesel,120,6,Mixed,6.0,160,0.19,90
5,Urban,Hybrid,18,18,Flat,4.5,85,0.13,40
6,Suburban,Electric,22,10,Hilly,,0,0.09,55
7,Rural,Diesel,40,5,Flat,5.8,145,0.12,65
8,Intercity,Electric,110,4,Hilly,,0,0.11,85
9,Urban,Hybrid,15,20,Flat,4.1,90,0.14,30
10,Suburban,CNG,35,14,Mixed,4.9,130,0.13,48
11,Rural,Diesel,70,7,Hilly,5.3,150,0.15,70
12,Intercity,Diesel,150,8,Flat,6.1,155,0.17,95
13,Urban,Electric,12,22,Flat,,0,0.1,34
14,Suburban,CNG,25,11,Mixed,4.6,135,0.12,52
15,Rural,Hybrid,45,6,Hilly,4.2,95,0.13,68
16,Intercity,Diesel,130,5,Mixed,5.9,170,0.18,88
17,Urban,Electric,16,16,Flat,,0,0.11,32
18,Suburban,Diesel,28,9,Hilly,5.7,142,0.15,54
19,Rural,CNG,50,7,Mixed,4.8,120,0.13,64
20,Intercity,Electric,140,5,Flat,,0,0.09,92
